"Subject","PP_Prior","PP_After","PP_Dev","Activity","PP_Dev_Normalized"
"01",0.26472,0.38707,0.12235,"NO",0.38707
"02",0.07293,0.11162,0.03869,"C",0.11162
"03",0.03871,0.18991,0.1512,"C",0.18991
"04",0.00523,-0.04063,-0.04586,"NO",-0.04063
"05",0.09855,0.18117,0.08262,"M",0.18117
"06",0.29504,0.42257,0.12753,"M",0.42257
"07",0.08265,0.1912,0.10855,"NO",0.1912
"09",0.02198,0.17661,0.15463,"M",0.17661
"12",-0.10668,0.02018,0.12686,"C",0.12686
"13",-0.15456,0.00819,0.16275,"C",0.16275
"15",-0.13014,0.00685,0.137,"NO",0.13699
"16",-0.07022,-0.16294,-0.09273,"NO",-0.09272
"17",0.12202,0.0812,-0.04082,"C",0.0812
"18",-0.00656,0.01549,0.02205,"C",0.02205
"22",0.07791,0.0968,0.01889,"C",0.0968
"24",0.00948,0.23024,0.22076,"M",0.23024
"29",0.05085,0.26818,0.21732,"M",0.26818
"30",-0.00261,0.14053,0.14314,"M",0.14314
"31",-0.15118,-0.06352,0.08766,"M",0.08766
"32",0.03984,0.05236,0.01252,"NO",0.05236
"41",-0.13014,-0.1457,-0.01556,"NO",-0.01556
